GUBERNATURA
07/06/2021 13:20 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1190,969,3,966,81.1764,928,77.9831,2.1008,38,524789,328842,327026,62.3157

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PT_MOR,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040009C0600,040009C060005,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,06,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,676,,,,,,,,,,,
040010B0100,040010B010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0010,01,B,00,1,5,212,298,6,306,5,75,3,4,1,128,73,2,2,2,3,0,0,0,0,1,6,306,305,528,6,,1,F,e9ee1b3e98f9aa52456dfdcb8f76ccbf93a9787f68fd9904c49046351e23a85f,07/06/2021 00:14:00,07/06/2021 00:17:12,07/06/2021 00:20:06,CATD,ESCANER,ACTA PREP
040010C0100,040010C010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0010,01,C,00,1,5,266,303,10,308,4,66,1,3,6,132,83,3,2,0,2,0,0,0,0,0,7,310,309,528,10,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,b737d7641cf01cbf360247de7bfaeedd6cbe52ae0dfa2314a6bf08e1c5c24838,07/06/2021 00:08:00,07/06/2021 00:12:57,07/06/2021 00:20:06,CATD,ESCANER,ACTA PREP
040011B0100,040011B010005,04,CAMPECHE,007,007. TENABO,0011,01,B,00,1,5,169,303,9,1,2,102,4,7,1,108,65,0,0,0,4,1,0,1,0,0,8,295,303,457,9,,1,F,131192bb29083f3652848ed6d97b8796cba038bcc992a6a8e010aa95c2f7a78e,07/06/2021 12:12:00,07/06/2021 12:16:04,07/06/2021 12:40:05,CATD,ESCANER,ACTA PREP
040011C0100,040011C010005,04,CAMPECHE,007,007. TENABO,0011,01,C,00,1,5,143,325,7,335,3,107,1,4,1,128,81,2,1,0,4,0,0,0,0,0,3,335,335,456,7,,1,F,8b5c7aa48bcbee536890a7968846527d8790da63a2a0f63040448e54c332e3d1,07/06/2021 12:17:00,07/06/2021 12:20:18,07/06/2021 12:40:05,CATD,ESCANER,ACTA PREP
040012B0100,040012B010005,04,CAMPECHE,007,007. TENABO,0012,01,B,00,1,5,163,362,5,367,3,103,2,4,2,115,118,3,1,0,6,0,0,0,2,0,8,367,367,510,5,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,443158cc8d2d6f10118479004aef5f36963d0cbdff7e386d4b672cf3e7422113,07/06/2021 13:06:00,07/06/2021 13:14:02,07/06/2021 13:20:05,CATD,ESCANER,ACTA PREP
040012C0100,040012C010005,04,CAMPECHE,007,007. TENABO,0012,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,
040012C0200,040012C020005,04,CAMPECHE,007,007. TENABO,0012,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,509,,,,,,,,,,,
040012S0100,040012S010005,04,CAMPECHE,007,007. TENABO,0012,01,S,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
040013B0100,040013B010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0013,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,
040013C0100,040013C010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0013,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,
040014B0100,040014B010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0014,01,B,00,1,5,230,331,3,332,4,92,2,2,4,125,78,5,2,0,6,2,0,0,1,0,6,332,329,544,3,,1,F,b3d4eea532c90c86a46e68064ffe9eea49ab7758e7983ee7934621f7f20b7c95,07/06/2021 01:06:00,07/06/2021 01:10:07,07/06/2021 01:20:06,CATD,ESCANER,ACTA PREP
040014C0100,040014C010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0014,01,C,00,1,5,211,0,0,0,3,113,4,5,0,140,71,4,1,1,5,0,0,0,1,0,7,355,355,544,0,,1,F,b40e8b26d67dee17e9a665b111f31257afd19ae1e88c5529e4bc5fbb46abd1ea,06/06/2021 23:37:00,06/06/2021 23:41:53,07/06/2021 00:00:06,CATD,ESCANER,ACTA PREP
040015B0100,040015B010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0015,01,B,00,1,5,235,355,6,362,9,67,1,4,1,170,87,4,0,3,9,1,0,0,1,0,5,362,362,576,6,,1,F,28e5ff413e5f633df6430bb0bc913d6e3ce41a0d98209901648da44b206335e3,07/06/2021 04:12:00,07/06/2021 04:16:42,07/06/2021 04:20:05,CATD,ESCANER,ACTA PREP
040015C0100,040015C010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0015,01,C,00,1,5,253,339,4,342,5,58,3,7,3,176,74,0,1,1,1,0,0,0,3,0,10,342,342,576,4,,1,F,0c97e78c294401d5b5b97de5c30a1ef6807d9138362f802523c6fcb661d383dd,07/06/2021 04:18:00,07/06/2021 04:20:53,07/06/2021 04:40:05,CATD,ESCANER,ACTA PREP
040016B0100,040016B010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0016,01,B,00,1,5,0,0,0,364,8,81,0,6,2,183,75,2,0,1,1,1,0,1,0,0,3,364,364,599,0,,1,F,6863ad24f7f5f069ae3d7bdb6e64f02d5bc9c6be4fdeff591fa0f719d78596c4,07/06/2021 01:00:00,07/06/2021 01:05:39,07/06/2021 01:20:06,CATD,ESCANER,ACTA PREP
040016C0100,040016C010005,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0016,01,C,00,1,5,0,0,0,0,4,76,2,4,1,214,61,2,0,0,0,1,0,0,0,0,9,374,374,599,0,,1,F,3ece65d698144dc3b952123bec08f801bc3a89ccd18fc52c40ef817e1bff2a04,07/06/2021 00:50:00,07/06/2021 00:53:09,07/06/2021 01:00:06,CATD,ESCANER,ACTA PREP
040017B0100,040017B010005,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0017,01,B,00,2,5,339,382,11,382,5,73,2,9,1,184,95,2,0,0,5,0,0,0,1,0,5,382,382,701,11,,1,F,c0bc02ca71cdeed66a9b4c3e32987762f62f2325631c8033bff42d2f33ffd2c2,07/06/2021 01:45:00,07/06/2021 01:49:53,07/06/2021 02:00:07,CATD,ESCANER,ACTA PREP
040017C0100,040017C010005,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0017,01,C,00,2,5,305,405,11,416,5,105,1,5,2,185,100,1,2,2,3,0,0,0,1,0,4,416,416,701,11,,1,F,30d667c3a3999dab8910e15babc5bb5ae59005749063bb79fa7183d8bc41163e,07/06/2021 07:54:00,07/06/2021 07:59:38,07/06/2021 08:20:05,CATD,ESCANER,ACTA PREP
040017C0200,040017C020005,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0017,02,C,00,2,5,312,401,8,409,5,103,1,2,2,104,99,0,1,0,4,0,0,0,4,0,4,409,329,701,8,,1,F,6ea1e23ca5589b189ef3dda68952b8ed35aec72861ae06584b5bacb1dbc56cf9,07/06/2021 08:02:00,07/06/2021 08:09:50,,CATD,ESCANER,ACTA PREP
