JUNTAS
07/06/2021 13:20 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
271,166,3,163,60.1476,157,57.9335,2.214,6,76230,52400,0,68.7393

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040141B0100,040141B010007,04,CAMPECHE,003,ALFREDO V. BONFIL,0141,01,B,00,1,7,,,,,,,,,,,,,,,,,,,,,,,456,,,,,,,,,,,
040141C0100,040141C010007,04,CAMPECHE,003,ALFREDO V. BONFIL,0141,01,C,00,1,7,,,,,,,,,,,,,,,,,,,,,,,456,,,,,,,,,,,
040142B0100,040142B010007,04,CAMPECHE,001,PICH,0142,01,B,00,2,7,209,498,0,496,16,143,5,11,0,74,213,6,3,0,4,4,0,0,0,17,496,496,687,0,,1,F,7efbce8cfcf02bbffa09196158582f89aae66659e382fe75fc246a7aa84b040d,07/06/2021 11:11:00,07/06/2021 11:15:08,07/06/2021 11:20:04,CATD,ESCANER,ACTA PREP
040142C0100,040142C010007,04,CAMPECHE,001,PICH,0142,01,C,00,2,7,,,,,,,,,,,,,,,,,,,,,,,686,,,,,,,,,,,
040142C0200,040142C020007,04,CAMPECHE,001,PICH,0142,02,C,00,2,7,243,463,0,1,11,145,7,20,2,61,185,4,2,2,9,0,0,0,0,15,462,463,686,0,,1,F,104ccd3137f0ed584147e5f84c4a7ad3ebafb346e9b33fb58263bee9ea1d12d4,07/06/2021 11:10:00,07/06/2021 11:14:04,07/06/2021 11:20:04,CATD,ESCANER,ACTA PREP
040142C0300,040142C030007,04,CAMPECHE,001,PICH,0142,03,C,00,2,7,306,430,0,430,13,112,7,14,2,91,166,1,0,0,5,0,0,0,0,19,430,430,686,0,,1,F,25571d710deb665c5a84fa6dd3c7e0f3321c1e8801f5ba34e89fce8bd9c16013,07/06/2021 11:31:00,07/06/2021 11:35:26,07/06/2021 11:40:05,CATD,ESCANER,ACTA PREP
040143B0100,040143B010007,04,CAMPECHE,002,TIXMUCUY,0143,01,B,00,2,7,113,289,0,289,6,63,1,4,3,55,142,2,0,1,3,0,0,0,0,9,289,289,382,0,,1,F,273eba705a89777205fc489cf5180a8cc7da37b0c180a33b06a09319fdf1efc8,07/06/2021 11:02:00,07/06/2021 11:06:06,07/06/2021 11:20:04,CATD,ESCANER,ACTA PREP
040144B0100,040144B010007,04,CAMPECHE,001,PICH,0144,01,B,00,2,7,80,188,0,0,2,68,1,3,0,53,57,2,1,1,0,0,0,0,0,2,188,190,250,0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,e780887ff431bc1dbc5c6a808ec65deafd0f2815cf35269609803152dfec4384,07/06/2021 11:14:00,07/06/2021 11:17:56,07/06/2021 11:20:04,CATD,ESCANER,ACTA PREP
040145B0100,040145B010007,04,CAMPECHE,001,PICH,0145,01,B,00,2,7,162,280,0,281,10,82,5,2,1,58,86,3,3,1,2,2,0,0,0,13,268,268,423,0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,bc864ab890fcdd6e3cc7e8915ad9a3f782a7e50c134a6c7944cc8f568182d878,07/06/2021 11:32:00,07/06/2021 11:34:46,07/06/2021 11:40:05,CATD,ESCANER,ACTA PREP
040145C0100,040145C010007,04,CAMPECHE,001,PICH,0145,01,C,00,2,7,0,0,0,0,9,57,1,5,4,40,104,5,3,2,0,0,0,1,0,4,240,235,422,0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,4e4e1cafa1050e741f7e4fce7dae1e4d6f8a948fde5f0e084d35593a6ec21db5,07/06/2021 11:20:00,07/06/2021 11:25:57,07/06/2021 11:40:05,CATD,ESCANER,ACTA PREP
