DIPUTACIONES LOCALES
07/06/2021 13:20 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1200,976,3,976,81.3333,940,78.3333,2.1666,36,528596,327586,327475,61.9518

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040009C0100,040009C010003,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,01,C,00,1,3,255,439,7,442,11,112,1,4,10,167,115,5,2,3,3,1,0,0,1,7,442,442,677,7,,1,F,f38e8237a28937a0f1fcd98d845eb3c300bc6649c0a673981781d3f7c0a30891,07/06/2021 06:59:00,07/06/2021 07:02:06,07/06/2021 07:20:05,CATD,ESCANER,ACTA PREP
040009C0200,040009C020003,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,02,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,,,,,
040009C0300,040009C030003,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,03,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,,,,,
040009C0400,040009C040003,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,04,C,00,1,3,251,446,12,5,8,106,2,5,4,172,118,3,5,3,11,0,0,0,1,8,446,446,677,12,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,c45428e33637dbee723cb0b5abe66227879e999b3dc72d4183a965fae86f7097,07/06/2021 07:28:00,07/06/2021 07:36:59,,CATD,ESCANER,ACTA PREP
040009C0500,040009C050003,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,05,C,00,1,3,279,412,8,417,13,99,4,3,9,155,106,5,2,3,8,1,0,0,0,9,417,417,676,8,,1,F,6c8567cd4314f1c93dd437ab4d63bbfcfa6ac59a3d089b9f94005b71f1aad763,07/06/2021 07:29:00,07/06/2021 07:33:18,07/06/2021 07:40:05,CATD,ESCANER,ACTA PREP
040009C0600,040009C060003,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0009,06,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,676,,,,,,,,,,,
040010B0100,040010B010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0010,01,B,00,1,3,244,298,6,305,8,57,6,6,7,102,102,2,4,2,2,2,0,0,1,4,305,305,528,6,,1,F,f093d66f7922d39bd2232f72e1e3d02652967e09a2f1cc4d1c96555930aeb01f,07/06/2021 00:16:00,07/06/2021 00:20:54,07/06/2021 00:40:06,CATD,ESCANER,ACTA PREP
040010C0100,040010C010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0010,01,C,00,1,3,237,303,10,310,7,57,5,3,5,108,106,6,4,1,2,0,0,0,0,6,310,310,528,10,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,f9c0033a3eb3093d4c00841cef946886bd169bc5278998cf1c0be9aed86d9759,07/06/2021 00:09:00,07/06/2021 00:26:50,,CATD,ESCANER,ACTA PREP
040011B0100,040011B010003,04,CAMPECHE,007,007. TENABO,0011,01,B,00,1,3,169,303,9,0,8,95,2,10,4,100,67,1,2,1,3,0,0,0,0,6,299,299,457,9,,1,F,6532acb99604a8de0095c192cde8b62630878d13bd6a5d9e0e868da105f350c6,07/06/2021 12:15:00,07/06/2021 12:19:12,07/06/2021 12:40:05,CATD,ESCANER,ACTA PREP
040011C0100,040011C010003,04,CAMPECHE,007,007. TENABO,0011,01,C,00,1,3,131,325,0,323,7,98,1,3,4,113,82,4,1,0,2,1,0,0,0,7,323,323,456,0,,1,F,d966f04091df3deb608f7d1e930ae6e6c63c645b0a61e1fe75d59e15fe59e3b1,07/06/2021 12:19:00,07/06/2021 12:23:39,07/06/2021 12:40:05,CATD,ESCANER,ACTA PREP
040012B0100,040012B010003,04,CAMPECHE,007,007. TENABO,0012,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,
040012C0100,040012C010003,04,CAMPECHE,007,007. TENABO,0012,01,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,510,,TODOS ILEGIBLES O SIN DATO,0,F,f6642adf607d625a052ab2dc0b2d59ae36314770766debda3db676ccc261d932,07/06/2021 13:11:00,07/06/2021 13:17:01,07/06/2021 13:20:05,CATD,ESCANER,ACTA PREP
040012C0200,040012C020003,04,CAMPECHE,007,007. TENABO,0012,02,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,509,,,,,,,,,,,
040012S0100,040012S010003,04,CAMPECHE,007,007. TENABO,0012,01,S,00,1,3,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
040013B0100,040013B010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0013,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,
040013C0100,040013C010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0013,01,C,00,1,3,310,331,5,335,20,58,1,9,9,126,90,4,5,0,4,0,0,0,0,9,335,335,625,5,,1,F,028c71cf14db224b5d0180dacbb8bf81c8297b7b1c1fb79054e53aadc4cccf9b,07/06/2021 01:26:00,07/06/2021 01:30:35,07/06/2021 01:40:05,CATD,ESCANER,ACTA PREP
040014B0100,040014B010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0014,01,B,00,1,3,230,331,3,329,12,79,3,14,5,113,76,7,2,1,6,2,0,0,0,0,329,320,544,3,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,b792b4ed92054342383dad9f57d17c2af7a0f6e45a63425d02db2e867827aff3,07/06/2021 01:08:00,07/06/2021 01:11:59,07/06/2021 01:20:06,CATD,ESCANER,ACTA PREP
040014C0100,040014C010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0014,01,C,00,1,3,211,0,0,0,12,91,2,9,3,113,96,3,4,5,5,2,0,0,0,9,354,354,544,0,,1,F,62dc23a955a84f01fd7eb5a672ba54bcdcb2056c89e70bcbc03bb3d68927ad81,06/06/2021 23:41:00,06/06/2021 23:46:45,07/06/2021 00:00:06,CATD,ESCANER,ACTA PREP
040015B0100,040015B010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0015,01,B,00,1,3,241,355,6,358,18,53,2,4,4,158,93,2,0,4,9,0,0,1,0,10,358,358,576,6,,1,F,ccec49ef471b5d4dc4b79ae6c8829a84514ee9b75db13af22ba9a7516f102fc3,07/06/2021 04:14:00,07/06/2021 04:17:39,07/06/2021 04:20:05,CATD,ESCANER,ACTA PREP
040015C0100,040015C010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0015,01,C,00,1,3,257,339,4,338,24,52,6,5,1,148,79,3,2,4,0,2,0,0,0,12,338,338,576,4,,1,F,66a87bf35a5adb246e51baa6abb018c51abf8a2a94174de9bcad404338b37b3f,07/06/2021 04:16:00,07/06/2021 04:18:43,07/06/2021 04:20:05,CATD,ESCANER,ACTA PREP
040016B0100,040016B010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0016,01,B,00,1,3,0,0,0,361,22,66,1,4,3,165,83,4,1,5,0,1,0,0,0,6,361,361,599,0,,1,F,b5a5494682a53eb7a8fa7bc3142455b207b4e8aa4b61c20ec4ca3640563d6a97,07/06/2021 01:05:00,07/06/2021 01:06:59,07/06/2021 01:20:06,CATD,ESCANER,ACTA PREP
040016C0100,040016C010003,04,CAMPECHE,001,001. SAN FRANCISCO DE CAMPECHE,0016,01,C,00,1,3,244,366,8,0,13,56,1,8,4,194,74,2,1,2,1,2,0,0,0,8,366,366,599,8,,1,F,971e3acc2fb6a844cf6a4117ad9e5fd86f39f4719341f2999810db676a4560b6,07/06/2021 00:53:00,07/06/2021 00:56:51,07/06/2021 01:00:06,CATD,ESCANER,ACTA PREP
040017B0100,040017B010003,04,CAMPECHE,002,002. SAN FRANCISCO DE CAMPECHE,0017,01,B,00,2,3,339,371,11,382,15,59,4,11,13,147,120,0,2,1,2,0,0,0,0,8,382,382,701,11,,1,F,a204fd61dac31d2b7cecc6a1a5c38a0ea5d716922cd77d653157e29b86abe71d,07/06/2021 01:53:00,07/06/2021 01:57:01,07/06/2021 02:00:07,CATD,ESCANER,ACTA PREP
