GUBERNATURA
01/06/2021 18:52 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1190,0,0,0,0,0,0,0,0,0,,0,

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PT_MOR,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'040017C0400,'040017C040005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,04,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,
'040017C0500,'040017C050005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,05,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,
'040017C0600,'040017C060005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,06,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,
'040017C0700,'040017C070005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,07,C,00,2,5,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,
'040018B0100,'040018B010005,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0018,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,646,,,,,,,,,,,
'040019B0100,'040019B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0019,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,551,,,,,,,,,,,
'040019C0100,'040019C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0019,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,551,,,,,,,,,,,
'040020B0100,'040020B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0020,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,573,,,,,,,,,,,
'040020C0100,'040020C010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0020,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,573,,,,,,,,,,,
'040021B0100,'040021B010005,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0021,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,546,,,,,,,,,,,
