AYUNTAMIENTOS
07/06/2021 14:40 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
1193,927,3,924,77.4518,905,75.8591,1.5926,19,501897,319528,318877,63.5343

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,MOR,PES,RSP,FM,CAND_IND_1,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
040008B0100,040008B010002,04,CAMPECHE,001,CAMPECHE,0008,01,B,00,1,2,122,279,9,279,18,53,1,3,6,125,68,0,0,2,,1,1,0,0,0,1,279,279,381,9,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,fe1c1700cdb9ff2a2824d45988b12e4a031585512d04e0b883c4594c04a3f61f,06/06/2021 23:42:00,07/06/2021 00:09:44,07/06/2021 00:20:06,CATD,ESCANER,ACTA PREP
040008C0100,040008C010002,04,CAMPECHE,001,CAMPECHE,0008,01,C,00,1,2,119,276,6,282,15,52,0,5,2,123,70,1,1,5,,1,0,0,0,0,7,282,282,381,6,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,646a8c23f5275db55f3aad006b67c2ec5e0be1739d42d425c8dc0695f75622b1,07/06/2021 03:25:00,07/06/2021 03:30:47,07/06/2021 03:40:06,CATD,ESCANER,ACTA PREP
040009B0100,040009B010002,04,CAMPECHE,001,CAMPECHE,0009,01,B,00,1,2,253,433,7,444,20,74,2,4,1,208,121,1,4,1,,5,0,0,0,0,3,444,444,677,7,,1,F,a1cf540bafe4a5763dc1fbe35b437089f7024da2028fbb5816c19d55e27eea8c,07/06/2021 04:34:00,07/06/2021 04:39:21,07/06/2021 05:00:06,CATD,ESCANER,ACTA PREP
040009C0100,040009C010002,04,CAMPECHE,001,CAMPECHE,0009,01,C,00,1,2,258,439,7,445,20,81,0,6,8,205,111,1,0,2,,2,2,0,0,0,7,445,445,677,7,,1,F,15ceaf13f17fe85615dca55c74daf0ccc9e110cf8ea4a0a140f90ad0f30ef0ba,07/06/2021 08:07:00,07/06/2021 08:09:32,07/06/2021 08:20:05,CATD,ESCANER,ACTA PREP
040009C0200,040009C020002,04,CAMPECHE,001,CAMPECHE,0009,02,C,00,1,2,,,,,,,,,,,,,,,,,,,,,,,,677,,,,,,,,,,,
040009C0300,040009C030002,04,CAMPECHE,001,CAMPECHE,0009,03,C,00,1,2,262,425,10,435,20,56,1,3,6,222,113,3,3,0,,3,2,0,0,0,3,435,435,677,10,,1,F,cc1ee5e28dd854ede304776c7b2f54a80ef01faf54168adf3e53e12ed8068d00,07/06/2021 08:10:00,07/06/2021 08:14:20,07/06/2021 08:20:05,CATD,ESCANER,ACTA PREP
040009C0400,040009C040002,04,CAMPECHE,001,CAMPECHE,0009,04,C,00,1,2,252,446,12,0,17,100,5,6,2,204,106,0,5,0,,10,2,0,0,0,3,460,460,677,12,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,4bc75968ec61c70695686d41d8906e75b477aeee9f9abd0fb55f4c9ac1734100,07/06/2021 10:50:00,07/06/2021 10:55:20,07/06/2021 11:00:06,CATD,ESCANER,ACTA PREP
040009C0500,040009C050002,04,CAMPECHE,001,CAMPECHE,0009,05,C,00,1,2,276,412,8,420,21,64,3,2,6,188,125,5,0,0,,5,1,0,0,0,4,420,424,676,8,,1,F,f66ba5fbdf49b8f9b528f2feb2eb60b2582a0567dc06f5c76c6a3d2d0952d645,07/06/2021 10:44:00,07/06/2021 10:47:53,07/06/2021 11:00:06,CATD,ESCANER,ACTA PREP
040009C0600,040009C060002,04,CAMPECHE,001,CAMPECHE,0009,06,C,00,1,2,260,433,3,436,12,71,3,3,5,201,123,2,1,1,,3,2,0,0,0,9,436,436,676,3,,1,F,ace679731072435aa94f194b83e284e637812fa8285dfab84a57081d241ce7bc,07/06/2021 10:14:00,07/06/2021 10:17:01,07/06/2021 10:20:05,CATD,ESCANER,ACTA PREP
040010B0100,040010B010002,04,CAMPECHE,001,CAMPECHE,0010,01,B,00,1,2,245,298,6,303,13,55,4,2,1,122,90,3,3,2,,4,0,0,0,0,4,303,303,528,6,,1,F,58d49fe4a90035521e7fec14e08a6d89ba151fd676a4976dd0a3d028413c72b2,07/06/2021 02:20:00,07/06/2021 02:27:44,07/06/2021 02:40:06,CATD,ESCANER,ACTA PREP
